Date,Open,High,Low,Close*,Adj Close**,Volume,Risk,Variance,Total Return,Year,StdDev,Month
30/06/2015,2067,2132.82,2044.02,2103.84,2103.84,77920590000,45.37071386,2058.501676,6.67586123,2015,59,6
31/05/2015,2108.64,2129.87,2056.32,2063.11,2063.11,73213980000,45.12763761,2036.503677,-1.935983725,2015,59,5
30/04/2015,2087.38,2134.72,2067.93,2107.39,2107.39,65187730000,47.74503101,2279.587986,2.146274314,2015,59,4
31/03/2015,2067.63,2125.92,2048.38,2085.51,2085.51,72060940000,46.15151365,2129.962213,-1.038251107,2015,59,3
01/03/2015,2105.23,2117.52,2039.69,2067.89,2067.89,76675850000,46.80583358,2190.786057,-0.844877272,2015,59,3
01/02/2015,1996.67,2119.59,1980.9,2104.5,2104.5,68775560000,49.54930127,2455.133257,1.770403648,2015,59,2
01/01/2015,2058.9,2072.36,1988.12,1994.99,1994.99,77330040000,40.78268468,1663.22737,-5.203611309,2015,59,1
01/12/2014,2065.78,2093.55,1972.56,2058.9,2058.9,80743820000,43.65260664,1905.550067,3.20352483,2014,44,12
31/10/2014,2018.21,2075.76,2001.01,2067.56,2067.56,63600190000,47.64729898,2270.2651,0.420612949,2014,44,10
30/09/2014,1971.44,2018.19,1820.66,2018.05,2018.05,93714040000,32.35720631,1046.9888,-2.394610072,2014,44,9
31/08/2014,2004.07,2019.26,1964.04,1972.29,1972.29,66706000000,NA,NA,-2.267535492,2014,44,8
